               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10826,            0.032092,                   0,              0.0025,             0.11111,           0.0015537,          0.00067867,            0.076363,            0.026355,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10949,            0.031713,                   0,           0.0026667,             0.14815,           0.0019269,          0.00072098,            0.066946,            0.024766,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.086282,            0.031706,                   0,           0.0033333,             0.25926,           0.0055681,           0.0017945,            0.060978,            0.023227,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.080844,            0.029603,                   0,            0.010418,             0.25926,             0.05016,            0.007024,            0.058301,             0.02039,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.074599,            0.031201,                   0,            0.026917,             0.25926,             0.11396,            0.045996,            0.057143,            0.018174,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.068887,            0.025269,                   0,             0.13793,            0.074074,             0.10933,            0.024391,            0.056177,            0.015933,                   0,            0.019753,           0.0087532,           0.0087532
                   6,            0.076732,            0.027124,                   0,            0.061359,             0.18519,            0.061507,            0.011656,            0.060055,            0.014604,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.070389,             0.02393,                   0,             0.15968,             0.51852,             0.21492,            0.050437,            0.053628,            0.014039,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.059424,            0.023446,                   0,             0.12147,             0.37037,             0.23175,            0.057712,            0.052606,            0.014028,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.058387,            0.024715,                   0,            0.094678,             0.33333,             0.22175,             0.07185,            0.052976,            0.013578,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.059736,            0.025841,                   0,            0.094678,             0.33333,             0.22175,             0.07185,            0.052976,            0.013578,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.065058,             0.02277,                   0,            0.053023,             0.37037,             0.16867,            0.061582,            0.055258,            0.013398,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.059049,            0.020623,                   0,            0.039467,             0.48148,             0.11407,            0.029337,            0.056243,            0.013646,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.06128,            0.023535,                   0,            0.049748,             0.51852,            0.098906,            0.026098,            0.052948,            0.013707,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.057475,            0.022407,                   0,            0.062351,             0.40741,            0.098615,            0.027365,            0.050925,            0.013321,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.061185,            0.023531,                   0,              0.1513,             0.25926,             0.14591,            0.030355,            0.049358,              0.0127,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.05664,            0.027072,                   0,             0.11859,             0.37037,             0.12752,            0.027812,            0.048446,            0.012557,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.058669,            0.022778,                   0,             0.11018,             0.40741,             0.10893,             0.03035,            0.046208,            0.012603,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.057131,            0.026208,                   0,             0.16691,             0.48148,              0.1409,            0.040208,            0.045417,            0.012391,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.05182,            0.022828,                   0,             0.17691,             0.33333,             0.16245,            0.043332,            0.045042,            0.012754,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.051541,            0.026499,                   0,             0.15098,             0.33333,             0.15664,            0.049727,            0.043488,            0.012383,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.050799,            0.024899,                   0,             0.17311,              0.2963,             0.11847,             0.03141,            0.046475,            0.011679,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.049493,              0.0218,                   0,             0.18662,             0.37037,             0.19349,            0.062599,            0.044558,            0.012354,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.052991,            0.021922,                   0,             0.20544,             0.33333,             0.15774,            0.053104,            0.044397,            0.011528,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.05085,            0.021646,                   0,              0.2429,             0.39233,             0.17605,            0.053887,            0.044055,            0.012044,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.052769,            0.021291,                   0,             0.28442,              0.2963,             0.22408,            0.056047,            0.042789,            0.012125,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.044464,            0.024849,                   0,             0.28442,              0.2963,             0.22408,            0.056047,            0.042789,            0.012125,                   0,            0.009175,            0.009175,            0.009175
